PID,Name,Title,Journal,Volume,Issue,StartPage,EndPage,Year,DOI,NumberOfAuthors
1682742,"Marčetić, Hana, 0000-0002-3841-0377, (Högskolan i Borås, Sweden);Nolin, Jan, 0000-0001-9228-9179, (Högskolan i Borås, Sweden)",Feminist Data Studies and the emergence of a new Data Feminist knowledge domain,First Monday,27,7,,,2022,10.5210/fm.v27i7.12295,2
1719598,"Centerwall, Ulrika, 0000-0001-8208-1497, (Högskolan i Borås, Sweden)",In plain sight : School librarian practices within infrastructures for learning,Journal of Librarianship and Information Science,,,,,2022,10.1177/09610006221140881,1
1700603,"Wilson, Tom, 0000-0003-4941-8443, (Högskolan i Borås, Sweden);Maceviciute, Elena, 0000-0003-3412-2420, (Högskolan i Borås, Sweden)(Vilnius University, Lithuania)","Information misbehaviour: modelling the motivations for the creation, acceptance and dissemination of misinformation",Journal of Documentation,78,7,,,2022,10.1108/jd-05-2022-0116,2
1718752,"Levinsson, Magnus, 0000-0001-6202-4348, (Högskolan i Borås, Sweden);Norlund, Anita, 0000-0003-1681-5418, (Högskolan i Borås, Sweden);Langelotz, Lill, 0000-0003-1424-6063, (Högskolan i Borås, Sweden)",Innehåll och pedagogiska diskurser på lärares kompetensutvecklingsmarknad : en studie av insatser som genererar fakturor,Pedagogisk forskning i Sverige,,,,,2022,10.15626/pfs28.04.01,3
1674648,"Nordgren, Pia, , (Högskolan i Borås, Sweden);Frostlund, Jörgen, , (Högskolan i Borås, Sweden)",Interteach - A Total Investigation Study of Swedish Schools Regarding the Education of Pupils with Intellectual Disabilities,International Journal of Technology and Inclusive Education,11,1,1727,1731,2022,10.20533/ijtie.2047.0533.2022.0213,2
1686928,"Blom, Eva-Lotta, 0000-0002-8839-4141, (University of Gothenburg, Sweden);Wilson, Joanna R., 0000-0003-4245-1304, (McMaster University, Canada)(University of Gothenburg, Sweden);Kvarnemo, Charlotta, 0000-0001-8983-2900, (University of Gothenburg, Sweden);Amorim, M. Clara P., 0000-0002-2453-6999, (Instituto Universitário, Portugal)(Universidade de Lisboa, Portugal);Svensson, Ola, 0000-0003-3752-3131, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden)","Male acoustic display in the sand goby – Essential cue in female choice, but unaffected by supplemental feeding",Journal of Experimental Marine Biology and Ecology,556,,,,2022,10.1016/j.jembe.2022.151791,5
1700377,"Lindström Sol, Sofia, 0000-0003-4331-4950, (Högskolan i Borås, Sweden);Gustrén, Cia, 0000-0002-0078-877X, (Högskolan i Borås, Sweden);Nelhans, Gustaf, 0000-0001-5196-7148, (Högskolan i Borås, Sweden);Eklund, Johan, , (Högskolan i Borås, Sweden);Johannisson, Jenny, 0000-0003-4054-3379, (Högskolan i Borås, Sweden);Blomgren, Roger, 0000-0002-9327-2448, (Högskolan i Borås, Sweden)",Mapping research on the social impact of the arts: what characterises the field?,Open Research Europe,1,124,,,2022,10.12688/openreseurope.14147.2,6
1692884,"Asghari, Hamid, 0000-0001-7252-9657, (Karlstad University, Sweden);Abraham, Getahun Yacob, 0000-0002-4817-0135, (Högskolan i Borås, Sweden)",Newly arrived vocational students’ situation in life and at school : Understanding teacher stories through Foucault’s power and counter-power,Scandinavian Journal of Vocations in Development,7,7,103,122,2022,10.7577/sjvd.4593,2
1639273,"Abraham, Getahun Yacob, 0000-0002-4817-0135, (Högskolan i Borås, Sweden)",Nkrumah’s and Nyerere’s Educational Visions : What Can Contemporary Africa Learn From Them?,African Journal of Education and Practice,8,2,20,29,2022,10.47604/ajep.1470,1
1723322,"Centerwall, Ulrika, 0000-0001-8208-1497, (Högskolan i Borås, Sweden);Langelotz, Lill, 0000-0003-1424-6063, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden)",Norm Critical Projects in Swedish School Librarian Practices,Nordic Journal of Library and Information Studies,3,2,16,32,2022,10.7146/njlis.v3i2.132277,2
